year,parent_entity,parent_type,total_emissions_MtCO2e
1962,Abu Dhabi National Oil Company,State-owned Entity,0.498240043
1963,Abu Dhabi National Oil Company,State-owned Entity,1.050222171
1964,Abu Dhabi National Oil Company,State-owned Entity,4.17401764
1965,Abu Dhabi National Oil Company,State-owned Entity,6.193848854
1966,Abu Dhabi National Oil Company,State-owned Entity,7.562049932
1967,Abu Dhabi National Oil Company,State-owned Entity,7.998711729
1968,Abu Dhabi National Oil Company,State-owned Entity,10.12602711
1969,Abu Dhabi National Oil Company,State-owned Entity,12.3182833
1970,Abu Dhabi National Oil Company,State-owned Entity,14.18472442
1971,Abu Dhabi National Oil Company,State-owned Entity,19.00253604
1972,Abu Dhabi National Oil Company,State-owned Entity,20.94175413
1973,Abu Dhabi National Oil Company,State-owned Entity,54.03509838
1974,Abu Dhabi National Oil Company,State-owned Entity,127.568945
1975,Abu Dhabi National Oil Company,State-owned Entity,126.1420827
1976,Abu Dhabi National Oil Company,State-owned Entity,145.6615222
1977,Abu Dhabi National Oil Company,State-owned Entity,154.8250031
1978,Abu Dhabi National Oil Company,State-owned Entity,140.2285235
1979,Abu Dhabi National Oil Company,State-owned Entity,143.4990236
1980,Abu Dhabi National Oil Company,State-owned Entity,135.8439357
1981,Abu Dhabi National Oil Company,State-owned Entity,121.7427208
1982,Abu Dhabi National Oil Company,State-owned Entity,103.64987
1983,Abu Dhabi National Oil Company,State-owned Entity,96.72316598
1984,Abu Dhabi National Oil Company,State-owned Entity,97.5087702
1985,Abu Dhabi National Oil Company,State-owned Entity,97.44740743
1986,Abu Dhabi National Oil Company,State-owned Entity,142.4694033
1987,Abu Dhabi National Oil Company,State-owned Entity,187.4669226
1988,Abu Dhabi National Oil Company,State-owned Entity,181.5730531
1989,Abu Dhabi National Oil Company,State-owned Entity,247.623572
1990,Abu Dhabi National Oil Company,State-owned Entity,273.1143545
1991,Abu Dhabi National Oil Company,State-owned Entity,328.6256262
1992,Abu Dhabi National Oil Company,State-owned Entity,310.8616487
1993,Abu Dhabi National Oil Company,State-owned Entity,304.5146863
1994,Abu Dhabi National Oil Company,State-owned Entity,321.2230731
1995,Abu Dhabi National Oil Company,State-owned Entity,317.8963774
1996,Abu Dhabi National Oil Company,State-owned Entity,317.3096535
1997,Abu Dhabi National Oil Company,State-owned Entity,334.3222557
1998,Abu Dhabi National Oil Company,State-owned Entity,361.2132282
1999,Abu Dhabi National Oil Company,State-owned Entity,343.1351532
2000,Abu Dhabi National Oil Company,State-owned Entity,352.5209085
2001,Abu Dhabi National Oil Company,State-owned Entity,345.8979492
2002,Abu Dhabi National Oil Company,State-owned Entity,332.7849574
2003,Abu Dhabi National Oil Company,State-owned Entity,358.8665113
2004,Abu Dhabi National Oil Company,State-owned Entity,377.1128181
2005,Abu Dhabi National Oil Company,State-owned Entity,428.0397101
2006,Abu Dhabi National Oil Company,State-owned Entity,454.3974561
2007,Abu Dhabi National Oil Company,State-owned Entity,439.4556949
2008,Abu Dhabi National Oil Company,State-owned Entity,455.2313476
2009,Abu Dhabi National Oil Company,State-owned Entity,405.9054415
2010,Abu Dhabi National Oil Company,State-owned Entity,416.3020593
2011,Abu Dhabi National Oil Company,State-owned Entity,482.1027056
2012,Abu Dhabi National Oil Company,State-owned Entity,520.9234489
2013,Abu Dhabi National Oil Company,State-owned Entity,538.5337374
2014,Abu Dhabi National Oil Company,State-owned Entity,542.8269284
2015,Abu Dhabi National Oil Company,State-owned Entity,565.9590567
2016,Abu Dhabi National Oil Company,State-owned Entity,579.9547688
2017,Abu Dhabi National Oil Company,State-owned Entity,628.2843329
